Instance,N,Capacity,MaxWeight,Avg_Simple_Result,Avg_Simple_Time,Avg_Prob_Result,Avg_Prob_Time,Optimal_Percentage,Avg_Time_Ratio,Avg_Percentage_Diff
test_capacity_10_run1,1000,10050,200,25649,.0678,25649,.0559,100.00,1.2128,N/A
test_capacity_10_run2,1000,10050,200,27765,.0632,27765,.0541,100.00,1.1682,N/A
test_capacity_10_run3,1000,10050,200,28246,.0640,28246,.0540,100.00,1.1851,N/A
test_capacity_10_run4,1000,10050,200,28542,.0659,28542,.0553,100.00,1.1916,N/A
test_capacity_10_run5,1000,10050,200,27980,.0677,27980,.0573,100.00,1.1815,N/A
test_capacity_20_run1,1000,20100,200,38177,.1284,38177,.0996,100.00,1.2891,N/A
test_capacity_20_run2,1000,20100,200,41315,.1466,41315,.1083,100.00,1.3536,N/A
test_capacity_20_run3,1000,20100,200,38312,.1364,38312,.1166,100.00,1.1698,N/A
test_capacity_20_run4,1000,20100,200,36185,.1416,36185,.1194,100.00,1.1859,N/A
test_capacity_20_run5,1000,20100,200,36964,.1299,36964,.1064,100.00,1.2208,N/A
test_capacity_30_run1,1000,30150,200,47608,.1772,47608,.1359,100.00,1.3038,N/A
test_capacity_30_run2,1000,30150,200,47854,.1795,47854,.1377,100.00,1.3035,N/A
test_capacity_30_run3,1000,30150,200,46467,.1750,46467,.1362,100.00,1.2848,N/A
test_capacity_30_run4,1000,30150,200,47649,.2003,47649,.1503,100.00,1.3326,N/A
test_capacity_30_run5,1000,30150,200,46867,.1755,46867,.1316,100.00,1.3335,N/A
test_capacity_40_run1,1000,40200,200,53222,.1857,53222,.1824,100.00,1.0180,N/A
test_capacity_40_run2,1000,40200,200,55497,.2581,55497,.1980,100.00,1.3035,N/A
test_capacity_40_run3,1000,40200,200,53745,.2679,53745,.2111,100.00,1.2690,N/A
test_capacity_40_run4,1000,40200,200,55106,.2677,55106,.1844,100.00,1.4517,N/A
test_capacity_40_run5,1000,40200,200,56580,.2500,56580,.1982,100.00,1.2613,N/A
test_capacity_50_run1,1000,50250,200,60238,.3615,60238,.2550,100.00,1.4176,N/A
test_capacity_50_run2,1000,50250,200,60799,.3236,60799,.2441,100.00,1.3256,N/A
test_capacity_50_run3,1000,50250,200,61590,.3081,61590,.2300,100.00,1.3395,N/A
test_capacity_50_run4,1000,50250,200,62089,.2893,62089,.2162,100.00,1.3381,N/A
test_capacity_50_run5,1000,50250,200,61583,.3161,61583,.2412,100.00,1.3105,N/A
test_capacity_60_run1,1000,60300,200,65687,.4221,65687,.2380,100.00,1.7735,N/A
test_capacity_60_run2,1000,60300,200,66266,.3866,66266,.3041,100.00,1.2712,N/A
test_capacity_60_run3,1000,60300,200,67722,.4261,67722,.3233,100.00,1.3179,N/A
test_capacity_60_run4,1000,60300,200,65795,.4302,65795,.3018,100.00,1.4254,N/A
test_capacity_60_run5,1000,60300,200,66896,.4098,66896,.3007,100.00,1.3628,N/A
test_capacity_70_run1,1000,70350,200,71804,.4645,71804,.3331,100.00,1.3944,N/A
test_capacity_70_run2,1000,70350,200,71699,.4448,71699,.3193,100.00,1.3930,N/A
test_capacity_70_run3,1000,70350,200,68836,.4356,68836,.3498,100.00,1.2452,N/A
test_capacity_70_run4,1000,70350,200,72611,.3479,72610,.3263,80.00,1.0661,0
test_capacity_70_run5,1000,70350,200,70156,.4380,70156,.3482,100.00,1.2578,N/A
test_capacity_80_run1,1000,80400,200,73630,.5286,73630,.3849,100.00,1.3733,N/A
test_capacity_80_run2,1000,80400,200,71550,.5479,71550,.4084,100.00,1.3415,N/A
test_capacity_80_run3,1000,80400,200,73116,.5329,73113,.3860,80.00,1.3805,.0100
test_capacity_80_run4,1000,80400,200,73627,.5000,73627,.3667,100.00,1.3635,N/A
test_capacity_80_run5,1000,80400,200,74939,.5079,74939,.3743,100.00,1.3569,N/A
test_capacity_90_run1,1000,90450,200,73438,.4905,73438,.4510,100.00,1.0875,N/A
test_capacity_90_run2,1000,90450,200,75377,.6052,75377,.4245,100.00,1.4256,N/A
test_capacity_90_run3,1000,90450,200,76383,.5645,76381,.4072,80.00,1.3862,0
test_capacity_90_run4,1000,90450,200,74958,.5534,74958,.4066,100.00,1.3610,N/A
test_capacity_90_run5,1000,90450,200,76668,.5994,76668,.4261,100.00,1.4067,N/A
