Instance,N,Capacity,MaxWeight,Avg_Simple_Result,Avg_Simple_Time,Avg_Prob_Result,Avg_Prob_Time,Optimal_Percentage,Avg_Time_Ratio,Avg_Percentage_Diff
test_weights_1000_run1,1000,200200,1000,55596,1.3532,55596,.8167,100.00,1.6569,N/A
test_weights_1000_run2,1000,200200,999,55283,1.2820,55283,1.0397,100.00,1.2330,N/A
test_weights_1000_run3,1000,200200,994,54453,1.3160,54453,.9658,100.00,1.3626,N/A
test_weights_1000_run4,1000,200200,1000,55015,.9992,55015,1.0989,100.00,.9092,N/A
test_weights_1000_run5,1000,200200,1000,57461,1.2628,57461,.9546,100.00,1.3228,N/A
test_weights_2000_run1,1000,400200,2000,55577,2.9959,55577,1.7276,100.00,1.7341,N/A
test_weights_2000_run2,1000,400200,2000,54061,2.2551,54058,1.9759,80.00,1.1413,.0200
test_weights_2000_run3,1000,400200,2000,55884,2.6776,55884,2.0394,100.00,1.3129,N/A
test_weights_2000_run4,1000,400200,1998,54256,2.4185,54256,1.9930,100.00,1.2134,N/A
test_weights_2000_run5,1000,400200,1998,55336,2.7903,55336,1.6978,100.00,1.6434,N/A
test_weights_200_run1,1000,40200,200,55214,.2736,55214,.2138,100.00,1.2797,N/A
test_weights_200_run2,1000,40200,200,55437,.2923,55437,.2136,100.00,1.3684,N/A
test_weights_200_run3,1000,40200,200,55492,.2823,55492,.2266,100.00,1.2458,N/A
test_weights_200_run4,1000,40200,200,55439,.2825,55439,.2122,100.00,1.3312,N/A
test_weights_200_run5,1000,40200,199,55981,.2639,55981,.2027,100.00,1.3019,N/A
test_weights_3000_run1,1000,600200,2999,55244,3.7444,55244,3.2990,100.00,1.1350,N/A
test_weights_3000_run2,1000,600200,2998,55990,4.2578,55990,2.8985,100.00,1.4689,N/A
test_weights_3000_run3,1000,600200,2998,55623,4.3748,55623,2.9025,100.00,1.5072,N/A
test_weights_3000_run4,1000,600200,2999,55125,3.7970,55125,3.1877,100.00,1.1911,N/A
test_weights_3000_run5,1000,600200,2999,54939,3.8417,54939,3.3049,100.00,1.1624,N/A
test_weights_4000_run1,1000,800200,3996,56094,5.2118,56094,4.6657,100.00,1.1170,N/A
test_weights_4000_run2,1000,800200,3999,55870,5.6324,55870,4.2673,100.00,1.3198,N/A
test_weights_4000_run3,1000,800200,3996,54199,5.6755,54199,4.3991,100.00,1.2901,N/A
test_weights_4000_run4,1000,800200,3984,55975,7.6093,55975,4.0713,100.00,1.8690,N/A
test_weights_4000_run5,1000,800200,3983,53802,5.6809,53802,3.9721,100.00,1.4302,N/A
test_weights_500_run1,1000,100200,500,57078,.6533,57078,.5429,100.00,1.2033,N/A
test_weights_500_run2,1000,100200,500,53663,.6711,53663,.5133,100.00,1.3074,N/A
test_weights_500_run3,1000,100200,500,56575,.6522,56575,.4947,100.00,1.3183,N/A
test_weights_500_run4,1000,100200,500,55687,.6373,55687,.4022,100.00,1.5845,N/A
test_weights_500_run5,1000,100200,498,55455,.6506,55455,.4718,100.00,1.3789,N/A
